sets,name,category,algorithm,subcategory
PLL,PLL-Ua,Edges only,M2' U M U2 M' U M2',
PLL,PLL-Ub,Edges only,M2' U' M U2 M' U' M2,
PLL,PLL-H,Edges only,M2' U M2' U2 M2' U M2',
PLL,PLL-Z,Edges only,(M2' U M2' U) (M' U2 M2' U2) M' [U2],
PLL,PLL-Aa,Corners only,x' R2 D2' (R' U' R) D2' (R' U R'),
PLL,PLL-Ab,Corners only,x' (R U' R) D2 (R' U R) D2 R2',
PLL,PLL-E,Corners only,x' (R U' R' D) (R U R' D') (R U R' D) (R U' R' D'),
PLL,PLL-T,2 edges 2 corners,(R U R' U') R' F (R2 U' R' U') (R U R' F'),
PLL,PLL-F,2 edges 2 corners,(R' U' F') (R U R' U') R' F (R2 U' R' U') (R U R' U R),
PLL,PLL-V,2 edges 2 corners,(R' U R' U') (R D' R' D) (R' U D') R2 U' R2 D R2,
PLL,PLL-Y,2 edges 2 corners,F (R U' R' U') (R U R' F') (R U R' U') (R' F R F'),
PLL,PLL-Ja,2 edges 2 corners,(l2' U) (l F' R) U2' (r' U r) U2',
PLL,PLL-Jb,2 edges 2 corners,(R U R' F') (R U R' U') R' F R2 U' R' [U'],
PLL,PLL-Ra,2 edges 2 corners,(R U' R' U') (R U R D) (R' U' R D') R' U2 R' U,
PLL,PLL-Rb,2 edges 2 corners,(R' U2 R U2') R' F (R U R' U') R' F' R2 [U']),
PLL,PLL-Na,2 edges 2 corners,(R U R' U) (R U R' F') (R U R' U') R' F (R2 U' R') U2 (R U' R'),
PLL,PLL-Nb,2 edges 2 corners,(R' U R U') (R' F' U' F) (R U R' F) (R' F' R U' R),
PLL,PLL-Ga,3 edges 3 corners,(R2 U R' U) (R' U' R U') R2 U' D (R' U R) D' [U],
PLL,PLL-Gb,3 edges 3 corners,(R' U' R U D') R2 U (R' U R U' R U') R2 D,
PLL,PLL-Gc,3 edges 3 corners,(R2' U' R U') (R U R' U) R2 (U D') (R U' R') D [U'],
PLL,PLL-Gd,3 edges 3 corners,(R U R' U' D) (R2 U' R U') (R' U R' U R2) D' [U],
F2L,F2L-1,Standard,U (R U' R'),RF
F2L,F2L-2,Standard,y' U' (R' U R),RF
F2L,F2L-3,Standard,y' (R' U' R),RF
F2L,F2L-4,Standard,(R U R'),RF
F2L,F2L-5,Edge F and Corner F,U' (R U R') U2 (R U' R'),RF
F2L,F2L-7,Edge F and Corner F,U' (R U2' R') U2 (R U' R'),RF
F2L,F2L-15,Edge F and Corner F,(R U R') U2 (R U' R' U) (R U' R'),RF
F2L,F2L-10,Edge F and Corner R,U' (R U R' U) (R U R'),RF
